ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C10,pi_value_C18,pi_value_C19,pi_value_C10_C18_C19,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000135547,23493,HEY2,Protein Coding,0.00739497827871568,4.08650276711903,2.98253364253169,12.1881319832314,Hes Related Family BHLH Transcription Factor With YRPW Motif 2,Entrez Gene Summary for HEY2 Gene This gene encodes a member of the hairy and enhancer of split-related (HESR) family of basic helix-loop-helix (bHLH)-type transcription factors. The encoded protein forms homo- or hetero-dimers that localize to the nucleu,GeneCards Summary for HEY2 Gene HEY2 (Hes Related Family BHLH Transcription Factor With YRPW Motif 2) is a Protein Coding gene.Diseases associated with HEY2 include Tricuspid Valve Stenosis and Tricuspid Atresia.Among its related pathways are HIV Life Cyc,UniProtKB/Swiss-Prot for HEY2 GeneHEY2_HUMAN_Q9UBP5Downstream effector of Notch signaling which may be required for cardiovascular development. Transcriptional repressor which binds preferentially to the canonical E box sequence 5-CACGTG-3. Represses tran,NA,NA
ENSG00000172058,8293,SERF1A,Protein Coding,6.71375870927284,2.32410565429576,0.779187056915397,12.1580332257995,Small EDRK-Rich Factor 1A,Entrez Gene Summary for SERF1A Gene This gene is part of a 500 kb inverted duplication on chromosome 5q13. This duplicated region contains at least four genes and repetitive elements which make it prone to rearrangements and deletions. The repetitiveness ,GeneCards Summary for SERF1A Gene SERF1A (Small EDRK-Rich Factor 1A) is a Protein Coding gene.Diseases associated with SERF1A include Muscular Atrophy and Spinal Muscular Atrophy.An important paralog of this gene is SERF1B. ,Additional gene information for SERF1A Gene HGNC(10755)Entrez Gene(8293)Ensembl(ENSG00000172058)OMIM(603011)UniProtKB(O75920) Search for SERF1A at DataMedSearch for SERF1A at HumanCyc,NA,NA
ENSG00000173366,NA,NA,NA,6.56219851872439,0.711838522587166,2.57341164153166,12.0209865927223,NA,NA,NA,NA,NA,NA
ENSG00000196826,NA,NA,NA,4.24360683870413,0.0647924072631676,2.79630020320932,11.8663986654088,NA,NA,NA,NA,NA,NA
ENSG00000272414,100631383,FAM47E-STBD1,Protein Coding,4.93593438881558,0.444739016073414,2.1439152733515,10.5822251244426,FAM47E-STBD1 Readthrough,Entrez Gene Summary for FAM47E-STBD1 Gene This locus represents naturally occurring read-through transcription between the neighboring FAM47E (family with sequence similarity 47_ member E) and STBD1 (starch binding domain 1) genes on chromosome 4. The rea,GeneCards Summary for FAM47E-STBD1 Gene FAM47E-STBD1 (FAM47E-STBD1 Readthrough) is a Protein Coding gene.An important paralog of this gene is FAM47E. ,Additional gene information for FAM47E-STBD1 Gene HGNC(44667)Entrez Gene(100631383)Ensembl(ENSG00000272414)UniProtKB(F6W5V1)UniProtKB(D6RA91) Monarch InitiativeSearch for FAM47E-STBD1 at DataMedSearch for FAM47E-STBD1 at HumanCyc,NA,NA
ENSG00000160201,7307,U2AF1,Protein Coding,3.12359317811978,3.26345097650964,0.000613681909066336,10.1936932073539,U2 Small Nuclear RNA Auxiliary Factor 1,Entrez Gene Summary for U2AF1 Gene This gene belongs to the splicing factor SR family of genes. U2 auxiliary factor_ comprising a large and a small subunit, is a non-snRNP protein required for the binding of U2 snRNP to the pre-mRNA branch site. This gene,GeneCards Summary for U2AF1 Gene U2AF1 (U2 Small Nuclear RNA Auxiliary Factor 1) is a Protein Coding gene.Diseases associated with U2AF1 include Myelodysplastic Syndrome and Myeloid Leukemia.Among its related pathways are mRNA Splicing - Major Pathway and,UniProtKB/Swiss-Prot for U2AF1 GeneU2AF1_HUMAN_Q01081Plays a critical role in both constitutive and enhancer-dependent splicing by mediating protein-protein interactions and protein-RNA interactions required for accurate 3-splice site selection. Recruits ,NA,CIViC summary for U2AF1 Gene U2AF1 is one of several spliceosome complex genes frequently mutated in a variety of hematologic malignancies_ particularly de novo myelodysplastic syndromes (MDS), as well as solid tumors such as lung and pancreatic cancers. 
ENSG00000175445,4023,LPL,Protein Coding,3.62567160439178,0.0772389242170643,2.75925653455883,10.0041580665824,Lipoprotein Lipase,Entrez Gene Summary for LPL Gene LPL encodes lipoprotein lipase_ which is expressed in heart, muscle, and adipose tissue. LPL functions as a homodimer, and has the dual functions of triglyceride hydrolase and ligand/bridging factor for receptor-mediated l,GeneCards Summary for LPL Gene LPL (Lipoprotein Lipase) is a Protein Coding gene.Diseases associated with LPL include Hyperlipoproteinemia_ Type I and Hyperlipidemia, Familial Combined.Among its related pathways are Adipogenesis and Respiratory electron t,UniProtKB/Swiss-Prot for LPL GeneLIPL_HUMAN_P06858The primary function of this lipase is the hydrolysis of triglycerides of circulating chylomicrons and very low density lipoproteins (VLDL) (PubMed:27578112). Binding to heparin sulfate proteogylcans at th,Tocris Summary for LPL GeneLipases are esterase enzymes that catalyze the hydrolysis of ester bonds within hydrophobic lipids. The diverse class of lipase enzymes includes diacylglycerol lipase (DAGL) and lipoprotein lipase (LPL) and endothelial lipase (L,NA
ENSG00000181856,6517,SLC2A4,Protein Coding,3.51004802053608,0.0367728496010003,2.74623956045901,9.63943273310701,Solute Carrier Family 2 Member 4,Entrez Gene Summary for SLC2A4 Gene This gene is a member of the solute carrier family 2 (facilitated glucose transporter) family and encodes a protein that functions as an insulin-regulated facilitative glucose transporter. In the absence of insulin_ thi,GeneCards Summary for SLC2A4 Gene SLC2A4 (Solute Carrier Family 2 Member 4) is a Protein Coding gene.Diseases associated with SLC2A4 include Diabetes Mellitus_ Noninsulin-Dependent and Diabetes Mellitus.Among its related pathways are Akt Signaling and Cor,UniProtKB/Swiss-Prot for SLC2A4 GeneGTR4_HUMAN_P14672Insulin-regulated facilitative glucose transporter.,NA,NA
ENSG00000166762,117155,CATSPER2,Protein Coding,1.79998563941783,5.34493846421052,0.275600724530201,9.62081247915094,Cation Channel Sperm Associated 2,Entrez Gene Summary for CATSPER2 Gene This gene encodes a member of a family of cation channel proteins that localize to the flagellum of spermatozoa. Defects at this locus causes male infertility. Alternatively spliced transcript variants have been obser,GeneCards Summary for CATSPER2 Gene CATSPER2 (Cation Channel Sperm Associated 2) is a Protein Coding gene.Diseases associated with CATSPER2 include Deafness-Infertility Syndrome and Catsper-Related Male Infertility.Among its related pathways are Fertiliza,UniProtKB/Swiss-Prot for CATSPER2 GeneCTSR2_HUMAN_Q96P56Voltage-gated calcium channel that plays a central role in calcium-dependent physiological responses essential for successful fertilization, such as sperm hyperactivation, acrosome reaction and chemo,NA,NA
ENSG00000163491,152110,NEK10,Protein Coding,2.72831367860955,3.4996499141908,0.0119946829603797,9.54814273123151,NIMA Related Kinase 10,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,GeneCards Summary for NEK10 Gene NEK10 (NIMA Related Kinase 10) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include transferase activity_ transferring phosphorus-containing groups and protein tyrosine kinase activity.An im,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,NA,NA
ENSG00000258644,100529257,SYNJ2BP-COX16,Protein Coding,3.46345034628032,0.0158453357342124,2.54131356811723,8.80171335750249,SYNJ2BP-COX16 Readthrough,Entrez Gene Summary for SYNJ2BP-COX16 Gene This locus represents naturally occurring read-through transcription between the neighboring SYNJ2BP (synaptojanin 2 binding protein) and COX16 (COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)) genes ,GeneCards Summary for SYNJ2BP-COX16 Gene SYNJ2BP-COX16 (SYNJ2BP-COX16 Readthrough) is a Protein Coding gene.An important paralog of this gene is SYNJ2BP. ,Additional gene information for SYNJ2BP-COX16 Gene HGNC(48350)Entrez Gene(100529257)Ensembl(ENSG00000258644)UniProtKB(A0A087WTA2)UniProtKB(A0A087WUM0)UniProtKB(A0A087WYV9)UniProtKB(A0A087WX56)UniProtKB(A0A087X1F5) Search for SYNJ2BP-COX16 at DataMedSearch,NA,NA
ENSG00000160062,653121,ZBTB8A,Protein Coding,2.01236614790628,0.151534600832513,4.37278208900545,8.79963864808547,Zinc Finger And BTB Domain Containing 8A,Additional gene information for ZBTB8A Gene HGNC(24172)Entrez Gene(653121)Ensembl(ENSG00000160062)UniProtKB(Q96BR9) Search for ZBTB8A at DataMedSearch for ZBTB8A at HumanCyc,GeneCards Summary for ZBTB8A Gene ZBTB8A (Zinc Finger And BTB Domain Containing 8A) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include nucleic acid binding.An important paralog of this gene is ZBTB8B. ,UniProtKB/Swiss-Prot for ZBTB8A GeneZBT8A_HUMAN_Q96BR9May be involved in transcriptional regulation.,NA,NA
ENSG00000105948,79989,TTC26,Protein Coding,0.23866684448486,4.77889357782187,1.75395181911602,8.38194908418254,Tetratricopeptide Repeat Domain 26,Additional gene information for TTC26 Gene HGNC(21882)Entrez Gene(79989)Ensembl(ENSG00000105948)OMIM(617453)UniProtKB(A0AVF1) Search for TTC26 at DataMedSearch for TTC26 at HumanCyc,GeneCards Summary for TTC26 Gene TTC26 (Tetratricopeptide Repeat Domain 26) is a Protein Coding gene.Diseases associated with TTC26 include Joubert Syndrome 1.Among its related pathways are Organelle biogenesis and maintenance and Intraflagellar transport,UniProtKB/Swiss-Prot for TTC26 GeneIFT56_HUMAN_A0AVF1Component of the intraflagellar transport (IFT) complex B required for transport of proteins in the motile cilium. Required for transport of specific ciliary cargo proteins related to motility, while it,NA,NA
ENSG00000100433,54207,KCNK10,Protein Coding,1.97481809124573,4.18917350072997,0.154572002931622,8.27285561660876,Potassium Two Pore Domain Channel Subfamily K Member 10,Entrez Gene Summary for KCNK10 Gene The protein encoded by this gene belongs to the family of potassium channel proteins containing two pore-forming P domains. This channel is an open rectifier which primarily passes outward current under physiological K+,GeneCards Summary for KCNK10 Gene KCNK10 (Potassium Two Pore Domain Channel Subfamily K Member 10) is a Protein Coding gene.Diseases associated with KCNK10 include Birk-Barel Mental Retardation Dysmorphism Syndrome and Dentin Sensitivity.Among its related,UniProtKB/Swiss-Prot for KCNK10 GeneKCNKA_HUMAN_P57789Outward rectifying potassium channel. Produces rapidly activating and non-inactivating outward rectifier K(+) currents. Activated by arachidonic acid and other naturally occurring unsaturated free fatt,Tocris Summary for KCNK10 Gene,NA
ENSG00000255439,NA,NA,NA,0.00386778488566608,3.26767029281961,2.43342591465429,7.95163357109322,NA,NA,NA,NA,NA,NA
ENSG00000155542,133383,SETD9,Protein Coding,2.52712075522903,3.13651028551943,0.000576007942096463,7.92634024152547,SET Domain Containing 9,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,GeneCards Summary for SETD9 Gene SETD9 (SET Domain Containing 9) is a Protein Coding gene.Among its related pathways are Gene Expression and Regulation of TP53 Activity.Gene Ontology (GO) annotations related to this gene include methyltransferase activity,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,NA,NA
ENSG00000179761,51268,PIPOX,Protein Coding,2.42517360789361,3.22804985596664,0.0030874371450443,7.82858131565505,Pipecolic Acid And Sarcosine Oxidase,Additional gene information for PIPOX Gene HGNC(17804)Entrez Gene(51268)Ensembl(ENSG00000179761)OMIM(616713)UniProtKB(Q9P0Z9) Search for PIPOX at DataMedSearch for PIPOX at HumanCyc,GeneCards Summary for PIPOX Gene PIPOX (Pipecolic Acid And Sarcosine Oxidase) is a Protein Coding gene.Diseases associated with PIPOX include Peroxisomal Biogenesis Disorders.Among its related pathways are Metabolism and Histidine_ lysine, phenylalanine, ,UniProtKB/Swiss-Prot for PIPOX GeneSOX_HUMAN_Q9P0Z9Metabolizes sarcosine, L-pipecolic acid and L-proline.,NA,NA
ENSG00000262304,NA,NA,NA,0.484620360553559,1.55557089698317,4.81795699994464,7.49467369203024,NA,NA,NA,NA,NA,NA
ENSG00000078814,57644,MYH7B,Protein Coding,0.00398929227827618,2.58169060023908,2.83597028036506,7.32159781537584,Myosin Heavy Chain 7B,Entrez Gene Summary for MYH7B Gene The myosin II molecule is a multi-subunit complex consisting of two heavy chains and four light chains. This gene encodes a heavy chain of myosin II_ which is a member of the motor-domain superfamily. The heavy chain inc,GeneCards Summary for MYH7B Gene MYH7B (Myosin Heavy Chain 7B) is a Protein Coding gene.Diseases associated with MYH7B include Left Ventricular Noncompaction and Glutathione Synthetase Deficiency.Among its related pathways are ERK Signaling and Actin Nucl,UniProtKB/Swiss-Prot for MYH7B GeneMYH7B_HUMAN_A7E2Y1Involved in muscle contraction.,NA,NA
ENSG00000255330,387104,SOGA3,Protein Coding,3.75787249990233,0.322735371128703,1.94466478226274,7.30780230679369,SOGA Family Member 3,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,GeneCards Summary for SOGA3 Gene SOGA3 (SOGA Family Member 3) is a Protein Coding gene.Diseases associated with SOGA3 include Heart Conduction Disease.An important paralog of this gene is ENSG00000255330. ,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,NA,NA
ENSG00000110944,51561,IL23A,Protein Coding,0.000417885850727527,2.62274602958835,2.64705976819112,6.94256549710634,Interleukin 23 Subunit Alpha,Entrez Gene Summary for IL23A Gene This gene encodes a subunit of the heterodimeric cytokine interleukin 23 (IL23). IL23 is composed of this protein and the p40 subunit of interleukin 12 (IL12B). The receptor of IL23 is formed by the beta 1 subunit of IL1,GeneCards Summary for IL23A Gene IL23A (Interleukin 23 Subunit Alpha) is a Protein Coding gene.Diseases associated with IL23A include Inflammatory Bowel Disease and Multiple Sclerosis.Among its related pathways are Akt Signaling and Rheumatoid arthritis.G,UniProtKB/Swiss-Prot for IL23A GeneIL23A_HUMAN_Q9NPF7Associates with IL12B to form the IL-23 interleukin, a heterodimeric cytokine which functions in innate and adaptive immunity. IL-23 may constitute with IL-17 an acute response to infection in periphera,NA,NA
ENSG00000111319,6337,SCNN1A,Protein Coding,1.25333786553635,0.858656201792063,6.15229794040331,6.62101894883114,Sodium Channel Epithelial 1 Alpha Subunit,Entrez Gene Summary for SCNN1A Gene Nonvoltage-gated_ amiloride-sensitive, sodium channels control fluid and electrolyte transport across epithelia in many organs. These channels are heteromeric complexes consisting of 3 subunits: alpha, beta, and gamma. ,GeneCards Summary for SCNN1A Gene SCNN1A (Sodium Channel Epithelial 1 Alpha Subunit) is a Protein Coding gene.Diseases associated with SCNN1A include Bronchiectasis With Or Without Elevated Sweat Chloride 2 and Pseudohypoaldosteronism_ Type I, Autosomal R,UniProtKB/Swiss-Prot for SCNN1A GeneSCNNA_HUMAN_P37088Sodium permeable non-voltage-sensitive ion channel inhibited by the diuretic amiloride. Mediates the electrodiffusion of the luminal sodium (and water, which follows osmotically) through the apical mem,NA,NA
ENSG00000203546,NA,NA,NA,5.15347429861361,0.943586356844978,1.30845823860856,6.36270273328307,NA,NA,NA,NA,NA,NA
ENSG00000183087,2621,GAS6,Protein Coding,1.64323157769452,3.8446210214383,0.128748794181928,6.31760266669556,Growth Arrest Specific 6,Entrez Gene Summary for GAS6 Gene This gene encodes a gamma-carboxyglutamic acid (Gla)-containing protein thought to be involved in the stimulation of cell proliferation. This gene is frequently overexpressed in many cancers and has been implicated as an ,GeneCards Summary for GAS6 Gene GAS6 (Growth Arrest Specific 6) is a Protein Coding gene.Diseases associated with GAS6 include Sticky Platelet Syndrome and Schneiderian Carcinoma.Among its related pathways are ERK Signaling and Akt Signaling.Gene Ontology,UniProtKB/Swiss-Prot for GAS6 GeneGAS6_HUMAN_Q14393Ligand for tyrosine-protein kinase receptors AXL, TYRO3 and MER whose signaling is implicated in cell growth and survival, cell adhesion and cell migration. GAS6/AXL signaling plays a role in various proc,NA,CIViC summary for GAS6 Gene
ENSG00000254692,NA,NA,NA,5.61641909832958,0.864369582222069,1.29895970293464,6.30601008803471,NA,NA,NA,NA,NA,NA
ENSG00000184916,3714,JAG2,Protein Coding,1.58630894786699,3.91047378402164,0.217700161754072,6.2032195539928,Jagged 2,Entrez Gene Summary for JAG2 Gene The Notch signaling pathway is an intercellular signaling mechanism that is essential for proper embryonic development. Members of the Notch gene family encode transmembrane receptors that are critical for various cell fa,GeneCards Summary for JAG2 Gene JAG2 (Jagged 2) is a Protein Coding gene.Diseases associated with JAG2 include Ossifying Fibroma and Shipyard Eye.Among its related pathways are NOTCH2 Activation and Transmission of Signal to the Nucleus and Notch signalin,UniProtKB/Swiss-Prot for JAG2 GeneJAG2_HUMAN_Q9Y219Putative Notch ligand involved in the mediation of Notch signaling. Involved in limb development (By similarity).,NA,NA
ENSG00000177602,83903,HASPIN,Protein Coding,0.0210297347315649,2.9182976128459,2.10098506107762,6.1312996883677,Histone H3 Associated Protein Kinase,Additional gene information for HASPIN Gene HGNC(19682)Entrez Gene(83903)Ensembl(ENSG00000177602)OMIM(609240)UniProtKB(Q8TF76) Search for HASPIN at DataMedSearch for HASPIN at HumanCyc,GeneCards Summary for HASPIN Gene HASPIN (Histone H3 Associated Protein Kinase) is a Protein Coding gene. ,UniProtKB/Swiss-Prot for HASPIN GeneHASP_HUMAN_Q8TF76Serine/threonine-protein kinase that phosphorylates histone H3 at Thr-3 (H3T3ph) during mitosis. May act through H3T3ph to both position and modulate activation of AURKB and other components of the chro,NA,NA
ENSG00000088827,6614,SIGLEC1,Protein Coding,0.622719180886902,6.02740838444906,1.63267938181177,6.12807072925619,Sialic Acid Binding Ig Like Lectin 1,Entrez Gene Summary for SIGLEC1 Gene This gene encodes a member of the immunoglobulin superfamily. The encoded protein is a lectin-like adhesion molecule that binds glycoconjugate ligands on cell surfaces in a sialic acid-dependent manner. It is a type I ,GeneCards Summary for SIGLEC1 Gene SIGLEC1 (Sialic Acid Binding Ig Like Lectin 1) is a Protein Coding gene.Diseases associated with SIGLEC1 include Proliferative Glomerulonephritis and Syndromic X-Linked Intellectual Disability Cabezas Type.Among its rela,UniProtKB/Swiss-Prot for SIGLEC1 GeneSN_HUMAN_Q9BZZ2Acts as an endocytic receptor mediating clathrin dependent endocytosis. Macrophage-restricted adhesion molecule that mediates sialic-acid dependent binding to lymphocytes, including granulocytes, monocyt,NA,NA
